
2024/01/14 (13:38:32) | ===> btop++ v.1.2.13
2024/01/14 (13:38:32) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/14 (13:40:04) | ===> btop++ v.1.2.13
2024/01/14 (13:40:04) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/14 (13:51:37) | ===> btop++ v.1.2.13
2024/01/14 (13:51:37) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/14 (22:23:27) | ===> btop++ v.1.2.13
2024/01/14 (22:23:27) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/16 (13:48:53) | ===> btop++ v.1.2.13
2024/01/16 (13:48:53) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/17 (14:57:22) | ===> btop++ v.1.2.13
2024/01/17 (14:57:22) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/19 (17:02:11) | ===> btop++ v.1.2.13
2024/01/19 (17:02:11) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/27 (09:54:18) | ===> btop++ v.1.2.13
2024/01/27 (09:54:18) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/05/08 (10:57:04) | ===> btop++ v.1.3.2
2024/05/08 (10:57:04) | WARNING: Failed to set locale UTF-8 continuing anyway.
